1,1,0,2,2,2,1,2,1,negative
1,1,0,2,2,2,1,0,0,negative
1,1,0,2,2,2,2,1,1,negative
1,1,0,2,2,2,0,1,0,negative
1,1,0,2,2,2,0,0,1,negative
1,1,0,0,1,0,2,2,2,negative
1,1,0,0,0,1,2,2,2,negative
1,2,1,1,1,0,2,2,2,negative
1,2,1,1,2,1,2,2,0,negative
1,2,1,1,2,1,0,2,2,negative
1,2,1,1,2,2,0,2,1,negative
1,2,1,1,2,0,2,2,1,negative
1,2,1,1,2,0,0,2,0,negative
1,2,1,1,0,1,2,2,2,negative
1,2,1,2,2,1,1,2,0,negative
1,2,1,2,2,2,1,1,0,negative
1,2,1,2,2,2,1,0,1,negative
1,2,1,2,2,2,0,1,1,negative
1,2,1,2,2,0,1,2,1,negative
1,2,1,0,1,1,2,2,2,negative
1,2,1,0,2,1,1,2,2,negative
1,2,1,0,2,1,0,2,0,negative
1,2,1,0,2,2,1,2,1,negative
1,2,1,0,2,0,1,2,0,negative
1,2,1,0,2,0,0,2,1,negative
1,2,2,1,1,2,0,1,2,negative
1,2,2,1,2,1,2,1,0,negative
1,2,2,1,2,1,2,0,1,negative
1,2,2,1,2,1,0,2,1,negative
1,2,2,1,2,0,2,1,1,negative
1,2,2,0,1,2,1,1,2,negative
1,2,2,0,2,1,1,2,1,negative
1,2,2,0,2,1,2,1,1,negative
1,2,0,1,2,1,2,2,1,negative
1,2,0,1,2,1,0,2,0,negative
1,2,0,1,2,0,0,2,1,negative
1,2,0,2,2,1,1,2,1,negative
1,2,0,0,2,1,1,2,0,negative
1,2,0,0,2,1,0,2,1,negative
1,2,0,0,2,0,1,2,1,negative
1,0,1,1,1,2,2,2,2,negative
1,0,1,1,2,1,2,2,2,negative
1,0,1,1,0,0,2,2,2,negative
1,0,1,2,1,1,2,2,2,negative
1,0,1,2,2,2,1,1,2,negative
1,0,1,2,2,2,1,2,1,negative
1,0,1,2,2,2,1,0,0,negative
1,0,1,2,2,2,2,1,1,negative
1,0,1,2,2,2,0,1,0,negative
1,0,1,2,2,2,0,0,1,negative
1,0,1,0,1,0,2,2,2,negative
1,0,1,0,0,1,2,2,2,negative
1,0,2,1,1,2,2,1,2,negative
1,0,2,1,1,2,0,0,2,negative
1,0,2,1,2,1,2,1,2,negative
1,0,2,1,2,1,2,2,1,negative
1,0,2,1,2,1,2,0,0,negative
1,0,2,1,2,2,2,1,1,negative
1,0,2,1,2,0,2,1,0,negative
1,0,2,1,2,0,2,0,1,negative
1,0,2,1,0,2,0,1,2,negative
1,0,2,2,1,2,1,1,2,negative
1,0,2,2,2,1,2,1,1,negative
1,0,2,0,1,2,1,0,2,negative
1,0,2,0,1,2,0,1,2,negative
1,0,2,0,2,1,2,1,0,negative
1,0,2,0,2,1,2,0,1,negative
1,0,2,0,2,0,2,1,1,negative
1,0,2,0,0,2,1,1,2,negative
1,0,0,1,1,0,2,2,2,negative
1,0,0,1,0,1,2,2,2,negative
1,0,0,2,2,2,1,1,0,negative
1,0,0,2,2,2,1,0,1,negative
1,0,0,2,2,2,0,1,1,negative
1,0,0,0,1,1,2,2,2,negative
2,1,1,1,1,0,2,2,2,negative
2,1,1,1,2,1,2,0,2,negative
2,1,1,1,2,1,0,2,2,negative
2,1,1,1,2,2,1,0,2,negative
2,1,1,1,2,2,0,1,2,negative
2,1,1,1,2,0,1,2,2,negative
2,1,1,1,2,0,2,1,2,negative
2,1,1,1,2,0,0,0,2,negative
2,1,1,1,0,1,2,2,2,negative
2,1,1,2,1,1,2,2,0,negative
2,1,1,2,1,1,2,0,2,negative
2,1,1,2,1,2,2,0,1,negative
2,1,1,2,1,0,2,2,1,negative
2,1,1,2,1,0,2,0,0,negative
2,1,1,2,2,1,1,0,2,negative
2,1,1,2,2,1,2,1,0,negative
2,1,1,2,2,1,0,1,2,negative
2,1,1,2,2,2,1,1,0,negative
2,1,1,2,2,2,1,0,1,negative
2,1,1,2,2,2,0,1,1,negative
2,1,1,2,2,0,1,1,2,negative
2,1,1,2,2,0,2,1,1,negative
2,1,1,2,0,1,2,1,2,negative
2,1,1,2,0,1,2,0,0,negative
2,1,1,2,0,2,2,1,1,negative
2,1,1,2,0,0,2,1,0,negative
2,1,1,2,0,0,2,0,1,negative
2,1,1,0,1,1,2,2,2,negative
2,1,1,0,2,1,1,2,2,negative
2,1,1,0,2,1,2,1,2,negative
2,1,1,0,2,1,0,0,2,negative
2,1,1,0,2,2,1,1,2,negative
2,1,1,0,2,0,1,0,2,negative
2,1,1,0,2,0,0,1,2,negative
2,1,2,1,1,2,1,0,2,negative
2,1,2,1,2,1,1,0,2,negative
2,1,2,1,2,1,2,1,0,negative
2,1,2,1,2,1,2,0,1,negative
2,1,2,1,2,1,0,1,2,negative
2,1,2,1,2,0,1,1,2,negative
2,1,2,1,2,0,2,1,1,negative
2,1,2,1,0,2,1,1,2,negative
2,1,2,2,1,1,2,0,1,negative
2,1,2,2,0,1,2,1,1,negative
2,1,2,0,2,1,1,1,2,negative
2,1,2,0,2,1,2,1,1,negative
2,1,0,1,2,1,1,2,2,negative
2,1,0,1,2,1,2,1,2,negative
2,1,0,1,2,1,0,0,2,negative
2,1,0,1,2,2,1,1,2,negative
2,1,0,1,2,0,1,0,2,negative
2,1,0,1,2,0,0,1,2,negative
2,1,0,2,1,1,2,2,1,negative
2,1,0,2,1,1,2,0,0,negative
2,1,0,2,1,0,2,0,1,negative
2,1,0,2,2,1,1,1,2,negative
2,1,0,2,2,1,2,1,1,negative
2,1,0,2,0,1,2,1,0,negative
2,1,0,2,0,1,2,0,1,negative
2,1,0,2,0,0,2,1,1,negative
2,1,0,0,2,1,1,0,2,negative
2,1,0,0,2,1,0,1,2,negative
2,1,0,0,2,0,1,1,2,negative
2,2,1,1,2,1,1,2,0,negative
2,2,1,1,2,1,1,0,2,negative
2,2,1,1,2,1,0,1,2,negative
2,2,1,1,2,0,1,1,2,negative
2,2,1,1,2,0,1,2,1,negative
2,2,1,2,1,1,2,1,0,negative
2,2,1,2,1,0,2,1,1,negative
2,2,1,0,2,1,1,1,2,negative
2,2,2,1,1,2,1,1,0,negative
2,2,2,1,1,2,1,0,1,negative
2,2,2,1,1,2,0,1,1,negative
2,2,2,1,1,0,1,1,2,negative
2,2,2,1,1,0,1,2,1,negative
2,2,2,1,1,0,1,0,0,negative
2,2,2,1,1,0,2,1,1,negative
2,2,2,1,1,0,0,1,0,negative
2,2,2,1,1,0,0,0,1,negative
2,2,2,1,2,1,1,1,0,negative
2,2,2,1,2,1,1,0,1,negative
2,2,2,1,2,1,0,1,1,negative
2,2,2,1,0,1,1,1,2,negative
2,2,2,1,0,1,1,2,1,negative
2,2,2,1,0,1,1,0,0,negative
2,2,2,1,0,1,2,1,1,negative
2,2,2,1,0,1,0,1,0,negative
2,2,2,1,0,1,0,0,1,negative
2,2,2,1,0,0,1,1,0,negative
2,2,2,1,0,0,1,0,1,negative
2,2,2,1,0,0,0,1,1,negative
2,2,2,2,1,1,1,1,0,negative
2,2,2,2,1,1,1,0,1,negative
2,2,2,2,1,1,0,1,1,negative
2,2,2,0,1,1,1,1,2,negative
2,2,2,0,1,1,1,2,1,negative
2,2,2,0,1,1,1,0,0,negative
2,2,2,0,1,1,2,1,1,negative
2,2,2,0,1,1,0,1,0,negative
2,2,2,0,1,1,0,0,1,negative
2,2,2,0,1,0,1,1,0,negative
2,2,2,0,1,0,1,0,1,negative
2,2,2,0,1,0,0,1,1,negative
2,2,2,0,0,1,1,1,0,negative
2,2,2,0,0,1,1,0,1,negative
2,2,2,0,0,1,0,1,1,negative
2,2,0,1,2,1,1,1,2,negative
2,2,0,1,2,1,1,2,1,negative
2,2,0,2,1,1,2,1,1,negative
2,0,1,1,2,1,1,2,2,negative
2,0,1,1,2,1,2,1,2,negative
2,0,1,1,2,1,0,0,2,negative
2,0,1,1,2,2,1,1,2,negative
2,0,1,1,2,0,1,0,2,negative
2,0,1,1,2,0,0,1,2,negative
2,0,1,2,1,1,2,1,2,negative
2,0,1,2,1,1,2,0,0,negative
2,0,1,2,1,2,2,1,1,negative
2,0,1,2,1,0,2,1,0,negative
2,0,1,2,1,0,2,0,1,negative
2,0,1,2,2,1,1,1,2,negative
2,0,1,2,0,1,2,1,0,negative
2,0,1,2,0,0,2,1,1,negative
2,0,1,0,2,1,1,0,2,negative
2,0,1,0,2,1,0,1,2,negative
2,0,1,0,2,0,1,1,2,negative
2,0,2,1,1,2,1,1,2,negative
2,0,2,1,2,1,1,1,2,negative
2,0,2,1,2,1,2,1,1,negative
2,0,2,2,1,1,2,1,1,negative
2,0,0,1,2,1,1,0,2,negative
2,0,0,1,2,1,0,1,2,negative
2,0,0,1,2,0,1,1,2,negative
2,0,0,2,1,1,2,1,0,negative
2,0,0,2,1,1,2,0,1,negative
2,0,0,2,1,0,2,1,1,negative
2,0,0,2,0,1,2,1,1,negative
2,0,0,0,2,1,1,1,2,negative
0,1,1,1,1,2,2,2,2,negative
0,1,1,1,2,1,2,2,2,negative
0,1,1,1,0,0,2,2,2,negative
0,1,1,2,1,1,2,2,2,negative
0,1,1,2,2,2,1,1,2,negative
0,1,1,2,2,2,1,2,1,negative
0,1,1,2,2,2,1,0,0,negative
0,1,1,2,2,2,2,1,1,negative
0,1,1,2,2,2,0,1,0,negative
0,1,1,2,2,2,0,0,1,negative
0,1,1,0,1,0,2,2,2,negative
0,1,1,0,0,1,2,2,2,negative
0,1,2,1,1,2,1,2,2,negative
0,1,2,1,1,2,0,0,2,negative
0,1,2,1,2,1,2,1,2,negative
0,1,2,1,2,1,2,2,1,negative
0,1,2,1,2,1,2,0,0,negative
0,1,2,1,2,2,1,1,2,negative
0,1,2,1,2,2,2,1,1,negative
0,1,2,1,2,0,2,1,0,negative
0,1,2,1,2,0,2,0,1,negative
0,1,2,1,0,2,1,0,2,negative
0,1,2,1,0,2,0,1,2,negative
0,1,2,2,2,1,2,1,1,negative
0,1,2,0,1,2,1,0,2,negative
0,1,2,0,2,1,2,1,0,negative
0,1,2,0,2,1,2,0,1,negative
0,1,2,0,2,0,2,1,1,negative
0,1,2,0,0,2,1,1,2,negative
0,1,0,1,1,0,2,2,2,negative
0,1,0,1,0,1,2,2,2,negative
0,1,0,2,2,2,1,1,0,negative
0,1,0,2,2,2,1,0,1,negative
0,1,0,2,2,2,0,1,1,negative
0,1,0,0,1,1,2,2,2,negative
0,2,1,1,2,1,1,2,2,negative
0,2,1,1,2,1,0,2,0,negative
0,2,1,1,2,2,1,2,1,negative
0,2,1,1,2,0,1,2,0,negative
0,2,1,1,2,0,0,2,1,negative
0,2,1,0,2,1,1,2,0,negative
0,2,1,0,2,0,1,2,1,negative
0,2,2,1,1,2,1,1,2,negative
0,2,2,1,2,1,1,2,1,negative
0,2,2,1,2,1,2,1,1,negative
0,2,0,1,2,1,1,2,0,negative
0,2,0,1,2,1,0,2,1,negative
0,2,0,1,2,0,1,2,1,negative
0,2,0,0,2,1,1,2,1,negative
0,0,1,1,1,0,2,2,2,negative
0,0,1,1,0,1,2,2,2,negative
0,0,1,2,2,2,1,1,0,negative
0,0,1,2,2,2,1,0,1,negative
0,0,1,2,2,2,0,1,1,negative
0,0,1,0,1,1,2,2,2,negative
0,0,2,1,1,2,1,0,2,negative
0,0,2,1,1,2,0,1,2,negative
0,0,2,1,2,1,2,1,0,negative
0,0,2,1,2,1,2,0,1,negative
0,0,2,1,2,0,2,1,1,negative
0,0,2,1,0,2,1,1,2,negative
0,0,2,0,1,2,1,1,2,negative
0,0,2,0,2,1,2,1,1,negative
1,1,2,2,1,1,1,2,2,negative
1,1,2,2,2,1,1,1,2,negative
1,1,2,2,2,1,1,2,1,negative
1,2,1,1,1,2,2,1,2,negative
1,2,1,1,2,1,2,1,2,negative
1,2,1,1,2,2,2,1,1,negative
1,2,1,2,1,1,2,1,2,negative
1,2,1,2,2,1,1,1,2,negative
1,2,2,2,1,1,1,1,2,negative
2,1,1,1,1,2,2,2,1,negative
2,1,1,1,2,2,1,2,1,negative
2,1,1,1,2,2,2,1,1,negative
2,1,2,1,1,2,1,2,1,negative
2,1,2,1,2,1,1,2,1,negative
2,1,2,2,1,1,1,2,1,negative
2,2,1,1,1,2,2,1,1,negative
